0.0	0.0
0.1	8336845141177083.0
0.2	3.3033293315807684e+16
0.3	7.316652713451856e+16
0.4	1.2726166421092086e+17
0.5	1.9338082124722518e+17
0.6	2.6923712291053418e+17
0.7000000000000001	3.5232436145429037e+17
0.8	4.400521335501153e+17
0.9	5.2987640862391917e+17
1.0	6.194165436545335e+17
1.1	7.065515738624518e+17
1.2	7.89490923877221e+17
1.3	8.66817211187069e+17
1.4000000000000001	9.37501269013013e+17
1.5	1.0008916557527172e+18
1.6	1.056682566268827e+18
1.7000000000000002	1.104865121199972e+18
1.8	1.145667471412563e+18
1.9000000000000001	1.1794890755606684e+18
2.0	1.206834003462326e+18
2.1	1.2282473315052705e+18
2.2	1.2442577802662277e+18
2.3	1.255328835983443e+18
2.4	1.2618198022844457e+18
2.5	1.263957611147624e+18
2.6	1.2618198022844457e+18
2.7	1.2553288359834435e+18
2.8000000000000003	1.2442577802662277e+18
2.9	1.2282473315052705e+18
3.0	1.206834003462326e+18
3.1	1.1794890755606687e+18
3.2	1.1456674714125626e+18
3.3000000000000003	1.1048651211999715e+18
3.4000000000000004	1.0566825662688269e+18
3.5000000000000004	1.0008916557527173e+18
3.6	9.375012690130131e+17
3.7	8.668172111870694e+17
3.8000000000000003	7.894909238772214e+17
3.9000000000000004	7.06551573862452e+17
4.0	6.194165436545338e+17
4.1000000000000005	5.2987640862391917e+17
4.2	4.4005213355011526e+17
4.300000000000001	3.523243614542902e+17
4.4	2.6923712291053392e+17
4.5	1.933808212472253e+17
4.6	1.2726166421092131e+17
4.7	7.316652713451885e+16
4.8	3.3033293315807824e+16
4.9	8336845141177026.0
5.0	3.177140577910242e-14
