0.0	7965.148171593612
0.01	8344046.5251969835
0.02	16698994.565864803
0.03	25075526.996976998
0.04	33484124.34593951
0.05	41934864.53064302
0.06	50437335.835961506
0.07	59000562.28700768
0.08	67632947.08871435
0.09	76342238.23674572
0.1	85135510.59398237
0.11	94019171.91593271
0.12	102998985.12567082
0.13	112080096.33082575
0.14	121267074.68223946
0.15	130563954.22659153
0.16	139974280.61426952
0.17	149501158.0329796
0.18	159147295.6248256
0.19	168915049.94259492
0.2	178806464.85278907
0.21	188823308.34237283
0.22	198967107.13414168
0.23	209239178.40225354
0.24	219640650.36176166
0.25	230172492.7006797
0.26	240835533.42692277
0.27	251630477.6317786
0.28	262557924.7232778
0.29	273618380.187518
0.3	284812268.10647607
0.31	296139941.0688221
0.32	307601691.6835326
0.33	319197756.5028806
0.34	330928324.9294813
0.35000000000000003	342793545.9883912
0.36	354793531.24525255
0.37	366928360.29244846
0.38	379198084.8500146
0.39	391602731.5648825
0.4	404142305.83209264
0.41000000000000003	416816793.40696317
0.42	429626162.5530684
0.43	442570367.8374963
0.44	455649349.2017165
0.45	468863036.1386357
0.46	482211346.6340098
0.47000000000000003	495694190.9495312
0.48	509311469.65137136
0.49	523063077.8341938
0.5	536948903.3257872
0.51	550968828.4189967
0.52	565122731.2267036
0.53	579410484.7772499
0.54	593831959.4203581
0.55	608387021.3886844
0.56	623075534.182416
0.5700000000000001	637897359.0814946
0.58	652852355.4808877
0.59	667940380.2784195
0.6	683161289.2352434
0.61	698514936.7996438
0.62	714001176.4438152
0.63	729619860.3829803
0.64	745370840.4578867
0.65	761253967.7974898
0.66	777269092.9674714
0.67	793416066.5154194
0.68	809694738.5206403
0.6900000000000001	826104959.526414
0.7000000000000001	842646579.1444114
0.71	859319448.1791942
0.72	876123416.3490564
0.73	893058334.8158019
0.74	910124054.5209873
0.75	927320426.1690127
0.76	944647301.9142494
0.77	962104533.4262017
0.78	979691973.6197144
0.79	997409474.9847536
0.8	1015256891.4113923
0.81	1033234076.5482385
0.8200000000000001	1051340885.2447609
0.8300000000000001	1069577172.7585051
0.84	1087942794.6100218
0.85	1106437607.357232
0.86	1125061467.8652196
0.87	1143814233.8299763
0.88	1162695763.450995
0.89	1181705915.6981494
0.9	1200844550.0021636
0.91	1220111526.724402
0.92	1239506706.4293516
0.93	1259029950.827864
0.9400000000000001	1278681122.0503912
0.9500000000000001	1298460082.8908207
0.96	1318366696.7225761
0.97	1338400827.6489677
0.98	1358562340.5361476
0.99	1378851100.6027718
1.0	1399266973.9456866
